Спецификация лестниц монолитный Лм1...Лм10; ; ; ; ; 
Поз.;Обозначение;Наименование;Кол.;Масса ед., кг;Приме- чание
10-1450; ;10 S500 СТБ 1704-2012, L=1450;50;0,89; 
окт.40; ;10 S500 СТБ 1704-2012, L=3240;16;2; 
Д39; ;10 S500 СТБ 1704-2012, L=740;19;0,46; 
Д40; ;10 S240 СТБ 1704-2012, L=950;50;0,59; 
 ; ;Материалы; ; ; 
 ; ;Бетон класса С25/30 ; ; ;3,2 м3/
;;;;;
 ; ;Лестница монолитная Лм10; ; ; 
 ; ;Сборочные единицы; ; ; 
С1;ГОСТ 23279-2012;4С %%C5S500-100/%%C5S500-100 65x145 ;13;3,76; 
 ; ;Детали; ; ; 
Д1; ;20 S500 СТБ 1704-2012, L=7330;8;18,08; 
Д2; ;20 S500 СТБ 1704-2012, L=4025;8;9,93; 
Д3; ;20 S500 СТБ 1704-2012, L=4050;8;9,99; 
Д4; ;10 S500 СТБ 1704-2012, L=2735;8;1,69; 
Д5; ;10 S500 СТБ 1704-2012, L=7545;8;4,66; 
10-1450; ;10 S500 СТБ 1704-2012, L=1450;68;0,89; 
окт.40; ;10 S500 СТБ 1704-2012, L=3240;16;2; 
Д39; ;10 S500 СТБ 1704-2012, L=740;18;0,46; 
Д40; ;10 S240 СТБ 1704-2012, L=950;50;0,59; 
 ; ;Материалы; ; ; 
 ; ;Бетон класса С25/30 ; ; ;3,2 м3/
